Case,Location,Date,Year,Fatalities,Injured,Total victims,Type of shooting,Place of incident,Age of shooter,Age Group,Race of shooter,Gender of shooter,Prior signs of mental health issues,City,State,State Code,latitude,longitude
Cascade Mall shooting,"Burlington, Washington",23-09-2016,2016,5,0,5,Mass,Other,20,19-34,Unclear,Male,Yes,Burlington,Washington,WA,48.461366999999996,-122.33791799999999
Baton Rouge police shooting,"Baton Rouge, Louisiana",17-07-2016,2016,3,3,6,Spree,Other,29,19-34,Black,Male,Yes,Baton Rouge,Louisiana,LA,30.433601,-91.08140300000001
Dallas police shooting,"Dallas, Texas",7/7/2016,2016,5,11,16,Mass,Other,25,19-34,Black,Male,Unclear,Dallas,Texas,TX,32.780105199999994,-96.80000820000001
Orlando nightclub massacre,"Orlando, Florida",12/6/2016,2016,49,53,102,Mass,Other,29,19-34,Other,Male,Unclear,Orlando,Florida,FL,28.519718,-81.376777
Excel Industries mass shooting,"Hesston, Kansas",25-02-2016,2016,3,14,17,Mass,Workplace,38,35-64,Black,Male,Unclear,Hesston,Kansas,KS,38.135992,-97.425145
Kalamazoo shooting spree,"Kalamazoo County, Michigan",20-02-2016,2016,6,2,8,Mass,Other,45,35-64,White,Male,Unclear,Kalamazoo County,Michigan,MI,42.236689,-85.67479499999999
San Bernardino mass shooting,"San Bernardino, California",2/12/2015,2015,14,21,35,Mass,Workplace,28,19-34,Other,Male & Female,Unclear,San Bernardino,California,CA,34.075961,-117.27788999999999
Planned Parenthood clinic,"Colorado Springs, Colorado",27-11-2015,2015,3,9,12,Mass,Workplace,57,35-64,White,Male,Unclear,Colorado Springs,Colorado,CO,38.881031,-104.849057
Colorado Springs shooting rampage,"Colorado Springs, Colorado",31-10-2015,2015,3,0,3,Mass,Other,33,19-34,White,Male,Unclear,Colorado Springs,Colorado,CO,38.83755,-104.814251
Umpqua Community College shooting,"Roseburg, Oregon",1/10/2015,2015,9,9,18,Mass,School,26,19-34,Other,Male,Unclear,Roseburg,Oregon,OR,43.289538,-123.333193
Chattanooga military recruitment center,"Chattanooga,Tennessee",16-07-2015,2015,5,2,7,Mass,Military,24,19-34,Other,Male,Unclear,Chattanooga,Tennessee,TN,35.047157,-85.311819
Charleston Church Shooting,"Charleston, South Carolina",17-06-2015,2015,9,1,10,Mass,Religious,21,19-34,White,Male,Unclear,Charleston,South Carolina,SC,32.788387,-79.933143
Trestle Trail bridge shooting,"Menasha, Wisconsin",11/6/2015,2015,3,1,4,Mass,Other,27,19-34,Latino,Male,Yes,Menasha,Wisconsin,WI,44.204124,-88.467541
Marysville-Pilchuck High School shooting,"Marysville, Washington",24-10-2014,2014,5,1,6,Mass,School,15,10-18,Native American,Male,Unclear,Marysville,Washington,WA,48.050824,-122.176918
Isla Vista mass murder,"Santa Barbara, California",23-05-2014,2014,6,13,19,Mass,School,22,19-34,White,Male,Yes,Santa Barbara,California,CA,34.436283,-119.8714406
Fort Hood shooting 2,"Fort Hood, Texas",3/4/2014,2014,3,12,15,Mass,Military,34,19-34,Latino,Male,Unclear,Fort Hood,Texas,TX,31.141716,-97.777559
Alturas tribal shooting,"Alturas, California",20-02-2014,2014,4,2,6,Spree,Other,44,35-64,Native American,Female,Unknown,Alturas,California,CA,41.487103999999995,-120.54223700000001
Washington Navy Yard shooting,"Washington, District of Columbia",16-09-2013,2013,12,8,20,Mass,Military,34,19-34,Black,Male,Yes,Washington,District of Columbia,DC,38.874981,-76.99453000000001
Hialeah apartment shooting,"Hialeah, Florida",26-07-2013,2013,7,0,7,Mass,Other,42,35-64,Latino,Male,Unclear,Hialeah,Florida,FL,25.864338,-80.311775
Santa Monica rampage,"Santa Monica, California",7/6/2013,2013,6,3,9,Mass,Other,23,19-34,White,Male,Yes,Santa Monica,California,CA,34.008617,-118.494754
Pinewood Village Apartment shooting,"Federal Way, Washington",21-04-2013,2013,5,0,5,Mass,Other,27,19-34,Black,Male,No,Federal Way,Washington,WA,47.312960700000005,-122.3393665
Mohawk Valley shootings,"Herkimer County, New York",13-03-2013,2013,5,2,7,Mass,Other,64,35-64,White,Male,No,Herkimer County,New York,NY,43.045601,-74.984891
Sandy Hook Elementary massacre,"Newtown, Connecticut",14-12-2012,2012,27,2,29,Mass,School,20,19-34,White,Male,Yes,Newtown,Connecticut,CT,41.412322499999995,-73.31142358
Accent Signage Systems shooting,"Minneapolis, Minnesota",27-09-2012,2012,7,1,8,Mass,Workplace,36,35-64,White,Male,Yes,Minneapolis,Minnesota,MN,44.977425,-93.310408
